,Total abundance of ASV,Maximum abundance in samples,Number of Samples
be4d123acbd971d2b08e50572113fb07,2,2,1
3f815a7f68f55e8a5008c7eb272d8b90,2,2,1
6c2043c7344c20f2d2ecaabd80b83067,2,2,1
4c6a9a4c9e6811270864e569b526c0e2,2,2,1
9b78d8c3977cde32a312ac4c0d95d18b,2,2,1
d402af60ab5851553218b137b34ffedb,2,2,1
e2b9f7db109cc3f52eef70f0af558c07,2,2,1
eb62a66ddfeb342cf07aff14a9a1368b,2,2,1
d8070e1a490ca6a0de23ff3941a069cc,2,2,1
ac7d6c76e37c6ff00f112ba7ffa41dc7,2,2,1
c767f09e0e656ad71d998af9facefeb2,2,2,1
c8ad513b3a670b3233d072580fd332ee,2,2,1
9be02175658c2a650081e2490f5ca62b,2,2,1
6ab583da3c3068c70dacd17678129ca3,2,2,1
d8e3d2cd3afb06ac0425c9c295bb8eff,2,2,1
65abaa008f60fa407ceb3ef18d319526,2,2,1
a8ee266597234e3e35bbc66a87892132,2,2,1
64539b8aa296e37a4474dd985f2660b4,2,2,1
4a344b0a53857de53ecd5483a3296e7f,2,2,1
a501bcfcaadad1405187397e554dc4d7,2,2,1
825774e5fb1af54df89050a5d00ce658,2,2,1
4e3d8b03aab4e67cb07aaaa2b0d33d2e,2,2,1
1365057379c290319ea2e4dfba390d91,2,2,1
17eec66734c086171b23060e05874906,2,2,1
847c00df85a29c4d094c2800a49efd6d,2,2,1
2adeafaf51108812b614489040537cb4,2,2,1
f4972ae5dc29cd051a45853dc623a194,2,2,1
82b7c11b6c61f09fc03f768c9cb5cb83,2,2,1
18c1504221f1595eb737f32d7e5cab7e,2,2,1
3f504dc5568f80d9d11c594b4c2ab23f,2,2,1
a595dd4217e99dfd7a1635c08ad27481,2,2,1
d506cd0e79f450e4792c8b868e60e81a,2,2,1
017df0bb62c5b0a58b075b8e7f7aeb15,2,2,1
e15ecc59eb0a3911df1ec4dfd0169d96,2,2,1
0304bd396244662ad1d3891864edc698,2,2,1
fdf0de9dd810777429e2acebb282dccb,2,2,1
b776c0522e399ac50ab54d63c4f8366c,2,2,1
ec56ba5958d039cef4e7be0e5b77451d,2,2,1
d84beec19e26ec1ca82bf632005e2924,2,2,1
b285cdfa29f6f8fe67def942767e9875,2,2,1
ca98fab8f223bb5f850d91ee9cad9a88,2,2,1
8f04c063f35b8e41ded1c625257708de,2,2,1
7387557bbd1577f497e49706934b85f6,2,2,1
f16fb32f36278c3c4f116ba488773cef,2,2,1
597e66fe191e85d57f9f8062da93a227,2,2,1
3e7b7cc15c906737ca16662d9a53e5fe,2,2,1
0efab27cac940b41f4b01d60723dd884,2,2,1
e9fa9f7742a5fe6ddaae496af415ebb1,2,2,1
2aaecb9e5d71b896c054158eb75145a3,2,2,1
914d06ca6fde6a22e63157d15d65fc80,2,2,1
5fe92e3b04c4f214083b64249b5cdcc5,2,2,1
1f5d1e70c1add6310249c30f4b5fb849,2,2,1
e694c8b4d061ebdcd18591a0153c6a92,2,2,1
9511388329d008c8447a123aad3e9beb,2,2,1
f1e97d42a948bfd551c091bacee57f40,2,2,1
36113b149110caaa1c979ab63953a8a4,2,2,1
5f6de8b0836bede86f50a978b250d94f,2,2,1
dc47516d11ae472dbca04caa32f0980f,2,2,1
d288a34243ed71eaaafbfc43b8f7c116,2,2,1
9193880db47dc697e00946015ca3ba44,2,2,1
a6477f3b6a4d7283ab8c0fb6d45675a4,2,2,1
daab2b63d2e3e22c77c5a566f820e9e5,2,2,1
626698ab8e5aeeeeef91803b8a27b3f6,2,2,1
01746b7b56017dcab96641611089f44f,2,2,1
cb34d708d80004f61ca5fd9524abb045,2,2,1
d259cb697275a264f1f6cce6139806a5,2,2,1
068658da5a585541ee80d5454ec7a924,2,2,1
cd112f3aeb5dc128f7de108d8d40699c,2,2,1
2b405290f78ab503ee4c842f0a009206,2,2,1
27b59128df2689959f4d809fccea0519,2,2,1
d79f7ba3243552657893181040566c3e,2,2,1
10e7e77f4d509b8d16f2081582571cd9,2,2,1
6657760f96c84293aa963d322befa546,2,2,1
fe0717ee0e2754c7c58a84893c23092e,2,2,1
293c5d2f7bbc3867305686b1157f824d,2,2,1
aad51acacd5b186d26a94710ca9db5a2,2,2,1
951dd268716454884a9045a43be4cbe3,2,2,1
7a21bb21b345ce26cc0abbac3c7a3639,2,2,1
471bd3f0f6ecf3cc8dfaf60f6cfe5acf,2,2,1
f14fafb3790df4c28bb272896e54fb7a,2,2,1
62685a7e535ae6da578c167159532501,2,2,1
89d476484370a8f2fdf39f2a8a99067d,2,2,1
4bf4abdc060ea60c0759f844ab4c7ced,2,2,1
1a3b83ba660542a17380e3080c74d84f,2,2,1
70b70805b63df313c6bca9cdce3d7504,2,2,1
c3fc41dc67bbd1838d64180c4232b6fd,2,2,1
83dcd7f278c7cb70b93d9e076d56597b,2,2,1
7780bcafd77bffda3466a51e345b2656,2,2,1
eab57f1b209fc4fbad648026234a4a9c,2,2,1
b9ba223bbbd00153e92e64be85873f56,2,2,1
380ce4e6d7050d25ea333aca1403b2b1,2,2,1
55a4fa3b1bc06236a312801207285c5f,2,2,1
b85a64053d1120a17ea3ad8d842fb30d,2,2,1
b39a1912612cd483e25dc429925c699f,2,2,1
d544826235ab42b10300f47486842189,2,2,1
62d115527504bc8d16eb0ac5b7d38c15,2,2,1
571423003119c4ef1a51f7c071986597,2,2,1
d01567dac9c54baa8e9ee9c1caaf6812,2,2,1
53dc97fba9b53c617b2140d4be48bd82,2,2,1
4194d090a16b92bcd6f6b2e4c85360a5,2,2,1
65ce9483106ad4130742c6ed502be2c7,2,2,1
a00621db060c15303348f508057414e3,2,2,1
8b0092f22b0affcc866b706410a4d9d5,2,2,1
7d09d54e494fade92b3a3e3af6851167,2,2,1
2e33bb13677c1914a69e6713488cf3f7,2,2,1
9b00a0f2f11bc2a66a4141198d55a5d8,2,2,1
3812d18cbed63186dff47f3776608581,2,2,1
dafcfe6d42a58a5e60fd9b424f848884,2,2,1
3b9f3a4c253a36ea58f41e177c260600,2,2,1
65077a94a02feeb05dd2f7f243448434,2,2,1
733ee904c6e443b01b251af043090bdf,2,2,1
bc9cdc4eae381b44a807c73b9dadaca2,2,2,1
32d42dfa5abbb5a0fdca9384049ba718,2,2,1
61d41d7b0de7434e3e5b6ac4f394ebe0,2,2,1
4554316664f50327c7e9dfa55943bc94,2,2,1
aeb0a7d1be42f9f4f47bf5e2ac88919c,2,2,1
2e3554eac89135cc42d8512ddce5e9e3,2,2,1
17f5fb63e1e79cbd5e58ee94c135c88d,2,2,1
118b6b36a62e6027eebaaed30e341507,2,2,1
42214629f1f3b08c6602723ee1470a37,2,2,1
b30b07a5ae2698ac364ad4518518c719,2,2,1
0b830f8c7f5485f983001cd05f6a628c,2,2,1
8db55976b5d9083392d7bb881c3e66cf,2,2,1
72491a04abf6bf85fcbedd2839f8d90a,2,2,1
d614e5cfe8863bbe8b41f27cfb29f50d,2,2,1
f988062fe25a51efcea6b0bfa70dcef3,2,2,1
67aa9593f08c79e538040b53e8324244,2,2,1
418e29696e84e833bbbf6bb8651b26fc,2,2,1
ee639afe33278e76383fabc8427a965d,2,2,1
bfe339e94b0c2a78935dacc2018b7e6e,2,2,1
659cc064d826efe11a82a6b98617d64d,2,2,1
3c3cd5a4d1dce374892fec8252a3f83a,2,2,1
b3f4269fec289f560d6fdf0bd9e29456,2,2,1
84bd773645f90ed7601b967fd6a9c4ab,2,2,1
18cca9c6e981b8fa3549173ba761f2af,2,2,1
be79b8170d619b179f4efe55f6716ea9,2,2,1
1ee9000e84d15df2df05d3ae12864f41,2,2,1
c4793ee971b383c69338591ffc48b60d,2,2,1
6cb9fe11b901421aeca8152ba26323a9,2,2,1
26ff8430eb28fb2538da903fc353bc5b,2,2,1
1e8d02c05ce44e251392b694f4506374,2,2,1
d8d33a9deb043ddb50a14dd92ef26cb5,2,2,1
804c53ee86247a746b795310d5047128,2,2,1
0bb60a82baf6bd1b94a07bb4d9fd0ce5,2,2,1
27793896fceea8a128bf976d4fae29b0,2,2,1
57e2d7691c9ab56983103ce443b0f16f,2,2,1
c11b034d28b72873d50d0cb336d349a0,2,2,1
6924715f05d409ecc176031230fc0067,2,2,1
24b18005267195d693b5863011a1f734,2,2,1
1d87bcf02be93326b892c81f2b111e29,2,2,1
96c922a857558cb9c17909b5030555a6,2,2,1
994872e2108e4b213c8a45f5f1e5a3a4,2,2,1
394ded1989748c3947470c08c74abad8,2,2,1
5050848c6c4b0e5855982deeed5e3dea,2,2,1
d0e6a9cb1943d24d4dc55389fb1b8b42,2,2,1
b4ae03116c0c52c12dcca0ef25e11b97,2,2,1
0bd03b380fe13631ffba705da58ebdd6,2,2,1
dfd02b99ee50ec90b38deb13da659dec,2,2,1
80f002133149ed1e2509bb56d764fa68,2,2,1
ced0c59dca50feca13263d61d6e79fe0,2,2,1
fcb35178c48e156b4c79c1a046f4ea9a,2,2,1
99e830109cf9f434246b85b8b7c858f7,2,2,1
964147a950d8954b2985e9bfe5f389be,2,2,1
2d62c09cd2c446f97f1faf32fa516d25,2,2,1
cb7ca7e7c41bf576408e474f625b2c02,2,2,1
cbfc59065871db3d46e7bb574953147d,2,2,1
c2a1f54c495c1fb1382834e74eddd0cb,2,2,1
fb14e5d11cd91b58ec75d7985498908e,2,2,1
89e0f268dd34149134d47e1168b16085,2,2,1
a22fb0acf385d906d02d3a7bd1ea155b,2,2,1
127f4aa060d73055e4e943ef99d72ac9,2,2,1
ca5a3dcc12c0c0cdb5b93ecca2fa8e30,2,2,1
79505ad708a23f58aa47266bddfd6cf5,2,2,1
bf97976ce0c5130f7c1832d43658234c,2,2,1
43702648044f33c90b8ef3720ff0115d,2,2,1
77d40f66072f9359cac11f8ddea29645,2,2,1
85daf427d1c99823716762ee23394122,2,2,1
1206fd3b4fd913864a955834442bd137,2,2,1
018ebbe38ba492d380cf46e2f777bd5a,2,2,1
cfacc271e3cba0f040cc3d3e5821af08,2,2,1
a0386e147b6e9dd9fdd315e7fa3272f4,2,2,1
b1441a68620be5a278d15ca0e9d3abb0,2,2,1
1876a6d5ea7e9bf39634e52cdbc3de10,2,2,1
